RMS,CC,F0,F1,Class
2.1159,0.9834,3.116531328,0.176919532,0
1.8772,0.9733,2.21268378,2.392617458,0
1.929,0.9822,2.338491221,2.575446712,0
1.8216,0.9777,2.555160877,2.578738621,0
1.6639,0.9715,2.010261958,2.036389929,0
0.1677,0.4323,0.21871803,0.013475103,1
3.0635,0.9528,3.492780256,3.773861878,1
2.0692,0.9781,2.835502999,2.953902934,1
2.1089,0.9816,2.378931141,2.661001352,1
1.8292,0.9464,2.233631158,2.253951172,1
3.0248,0.9928,4.567676041,4.479794229,2
0.1887,0.3957,0.599196044,0.502334626,2
2.8177,0.9919,3.612397126,3.665143281,2
2.006,0.9767,2.36651153,2.567470022,2
1.7662,0.9318,0.749803439,0.149255527,2
2.3847,0.9875,3.501135266,3.508809136,3
2.7593,0.9863,3.166475533,3.353774025,3
0.1672,0.4122,0.096062366,0.264574494,3
2.7732,0.9878,3.613111708,3.784174626,3
2.6608,0.9569,3.442073328,3.494684076,3
2.3414,0.9839,2.681197332,2.880874613,4
2.098,0.9856,3.064838565,3.091864647,4
2.782,0.9904,3.87855287,3.916977905,4
0.1659,0.3805,0.080635731,0.186513362,4
2.6608,0.9569,3.442073328,3.494684076,4
2.9704,0.9855,4.150619158,4.179194442,5
2.0612,0.9766,2.482062628,2.600576478,5
2.1873,0.9828,2.929886487,3.060753645,5
2.628,0.9879,3.737942831,3.763076877,5
0.1522,0.3479,0.022879997,0.011577599,5
0.1661,0.426,0.101776415,0.014518493,6
2.9946,0.9802,3.643141972,3.780287578,6
2.0692,0.9794,2.446998202,2.645486341,6
2.0792,0.9835,2.877808648,2.880751533,6
2.5574,0.9748,3.681669774,3.702114987,6
2.9706,0.9902,4.352784267,4.27103935,7
0.1715,0.3996,0.009966218,0.374587235,7
2.8601,0.9831,3.898553618,3.900277682,7
1.9835,0.9783,2.888525657,2.851268282,7
1.8866,0.9516,-0.163197759,0.643119994,7
2.4168,0.9873,3.320648003,3.265476877,8
2.7097,0.9835,4.107003329,4.046276955,8
0.1536,0.4094,0.094518933,0.407760213,8
2.8024,0.9876,3.516625995,3.596312681,8
1.6331,0.7628,0.523349102,0.316573048,8
2.3757,0.9855,3.140776447,3.170725761,9
2.1451,0.9842,2.713823867,2.872105934,9
2.7974,0.9902,3.739055395,3.858396248,9
0.1648,0.4132,0.303071105,0.017096483,9
2.6516,0.9404,3.490767741,3.486604007,9
3.0302,0.9787,4.132689308,4.170590024,10
1.9875,0.9818,2.427937318,2.57727936,10
2.2688,0.984,2.234983673,2.536232955,10
2.4968,0.9877,3.125055845,3.367412957,10
0.1462,0.374,0.336483638,0.341007127,10
